127.0.0.1, 2012-07-19 22:12:40, GET, /, HTTP/1.1, 303, 0.001000
127.0.0.1, 2012-07-19 22:12:41, GET, /welcome/default/index, HTTP/1.1, 200, 0.876000
127.0.0.1, 2012-07-19 22:12:43, GET, /admin/default/index, HTTP/1.1, 200, 0.121000
127.0.0.1, 2012-07-19 22:12:43, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2012-07-19 22:12:45, POST, /admin/default/index, HTTP/1.1, 303, 0.043000
127.0.0.1, 2012-07-19 22:12:46, GET, /admin/default/site, HTTP/1.1, 200, 0.040000
127.0.0.1, 2012-07-19 22:12:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2012-07-19 22:12:46, POST, /admin/default/check_version, HTTP/1.1, 200, 0.835000
127.0.0.1, 2012-07-19 22:12:47, GET, /admin/default/twitter.load, HTTP/1.1, 200, 1.010000
127.0.0.1, 2012-07-19 22:12:51, POST, /admin/default/site, HTTP/1.1, 303, 0.188000
127.0.0.1, 2012-07-19 22:12:52, GET, /admin/default/design/igor, HTTP/1.1, 200, 0.152000
127.0.0.1, 2012-07-19 22:12:52, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2012-07-19 22:12:52, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2012-07-19 22:12:52, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.006000
127.0.0.1, 2012-07-19 22:12:52, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.006000
127.0.0.1, 2012-07-19 22:12:52, GET, /admin/static/images/folder_sm.png, HTTP/1.1, 200, 0.006000
127.0.0.1, 2012-07-19 22:12:52, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2012-07-19 22:13:01, GET, /admin/default/peek/igor/views/default/index.html, HTTP/1.1, 200, 0.042000
127.0.0.1, 2012-07-19 22:13:01, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2012-07-19 22:13:03, GET, /admin/default/design/igor, HTTP/1.1, 200, 0.099000
127.0.0.1, 2012-07-19 22:13:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2012-07-19 22:13:08, GET, /igor/default/index, HTTP/1.1, 200, 0.242000
127.0.0.1, 2012-07-19 22:13:09, GET, /igor/static/css/web2py.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-07-19 22:13:09, GET, /igor/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-07-19 22:13:09, GET, /igor/static/css/superfish.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-07-19 22:13:09, GET, /igor/static/css/calendar.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2012-07-19 22:13:09, GET, /igor/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-07-19 22:13:09, GET, /igor/static/css/skeleton.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-07-19 22:13:09, GET, /igor/static/js/calendar.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2012-07-19 22:13:09, GET, /igor/static/js/web2py.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2012-07-19 22:13:09, GET, /igor/static/js/superfish.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2012-07-19 22:13:09, GET, /igor/static/images/arrows-ffffff.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2012-07-19 22:13:09, GET, /igor/static/images/poweredby.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2012-07-19 22:13:09, GET, /igor/static/images/shadow.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2012-07-19 22:13:11, GET, /igor/static/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2012-07-20 21:46:38, GET, /, HTTP/1.1, 303, 0.001000
127.0.0.1, 2012-07-20 21:46:39, GET, /welcome/default/index, HTTP/1.1, 200, 0.469000
127.0.0.1, 2012-07-20 21:46:45, GET, /igor, HTTP/1.1, 500, 0.214000
127.0.0.1, 2012-07-20 21:46:45, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2012-07-20 21:46:46, GET, /admin/default/ticket/igor/127.0.0.1.2012-07-20.21-46-44.f5582d9b-008d-4743-9ee6-82f9e1955fcb, HTTP/1.1, 303, 0.076000
127.0.0.1, 2012-07-20 21:46:46, GET, /admin/default/index, HTTP/1.1, 200, 0.036000
127.0.0.1, 2012-07-20 21:46:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
